source,target,mean,std,median,min,max,count,distance
26.0,39.0,1.3570400948308834,0.4368744579098481,1.22433972406885,0.7992217643227216,3.384939237131527,1126,0.479533058593633
27.0,28.0,1.1483508694792164,0.25424150229867837,1.104994889733392,0.8118329801559107,2.42467450073232,1132,0.378855390739425
30.0,251.0,1.6060547929760212,0.41826417705548286,1.5609484208238158,0.7804742104119079,2.8380880378614832,1147,0.5203161402746053
35.0,397.0,1.159225543566668,2.220446049250313e-16,1.1592255435666678,1.1592255435666678,1.1592255435666678,1152,0.5023310688788895
292.0,291.0,3.941479912105368,1.0519282244397015,3.6644345788070263,2.290271611754392,8.143187952904503,1141,1.2214781929356755
397.0,167.0,1.2342730122360228,0.02207858958028678,1.248127386560822,1.198202291098389,1.248127386560822,1152,0.4992509546243288
408.0,36.0,2.1191624500107347,0.5970998688755376,1.8967284532360595,1.2815732792135537,4.343652945015815,1132,0.7903035221816914
38.0,39.0,2.590300841529415,0.47558255525243653,2.4141651639171853,1.724403688512275,4.5550286111645,1129,1.0059021516321605
39.0,26.0,1.2940102560586542,0.2418367800928259,1.256346456925797,0.8991244848630618,2.157898764210823,1126,0.479533058593633
434.0,154.0,1.7650257284860476,0.29917901069139885,1.749649671856395,0.9498098218649002,2.5571802896362694,1138,0.5540557294211917
434.0,262.0,1.4324296790238376,0.27206542271264467,1.3996069194383975,0.8232981879049397,2.153241414520612,1141,0.4665356398127992
447.0,153.0,1.6278234821773803,0.3081521592918024,1.5386780760825536,0.8145942755731166,2.5178368517714516,1138,0.4616034228247661
447.0,327.0,0.7209137131301014,0.17488161715234452,0.6911157045519991,0.4146694227311995,1.3194027086901805,1134,0.2418904965931997
43.0,42.0,1.2121464258239145,0.23021451789549235,1.1881942547730395,0.8456715898978365,1.9815736667384984,1143,0.5074029539387019
480.0,155.0,1.5503967078812195,0.3538207699237147,1.4441152206168024,0.9226291687274016,3.0195136431078593,1132,0.5535775012364409
480.0,43.0,1.5095493049590845,0.6988396546401171,1.3162669361059782,0.8032692170604641,9.15726907540502,1139,0.5087371708049606
480.0,359.0,1.5525757549312222,0.35773286149985384,1.5061520511930202,0.8745399006927214,2.711073692147436,1147,0.451845615357906
44.0,529.0,1.174521147571359,0.27986264234264674,1.07980704127309,0.7648633208117881,3.8243166040589407,1143,0.5099088805411921
448.0,337.0,1.0841259144311428,0.1853290276177347,1.0799758986336376,0.8099819239752283,1.70996183950326,1141,0.5129885518509779
449.0,448.0,1.8526856784411943,0.5838206629652649,1.6113866215946064,1.3550296590681918,5.962130499900044,1151,0.9936884166500074
422.0,138.0,1.13077251527302,0.19999634526233462,1.1341995491553098,0.7469118982242284,1.801375754540786,1142,0.5103897971198894
422.0,396.0,1.1625744724686826,0.21359202314037104,1.1295523085266526,0.7261407697671338,1.793994842954095,1135,0.5082985388369936
51.0,241.0,2.0772254754048576,0.16205701674003528,2.0440104132980106,2.0440104132980106,3.560534267751287,1140,1.2264062479788065
450.0,130.0,1.1995591545122808,0.22375972320700696,1.1315571319712534,0.9725126110259812,1.9450252220519624,1138,0.5024648490300903
450.0,414.0,1.2014512993431339,0.19581281506190434,1.1449509199108476,0.8135177588840233,1.9321046773495552,1134,0.5152279139598814
65.0,130.0,1.0317360217913667,0.1552287084921235,1.0162542434705069,0.7667274126281446,1.780786248914502,1130,0.5111516084187631
202.0,203.0,3.0526380688648795,0.70389476954394,2.8425018025698106,1.7867154187581666,5.685003605139621,1141,1.042250660942264
